groupId,referredId,referredToId,referredJob,referredToJob,is_good,amount,client_name
5a3ea99b734d1d12b6753ea7,Yossi,mirit.r,Proggrammer,Engineer,TRUE,6650.45,Itay Gabay
5a36cc6cdada7744b84a1a61,moshe.p,amit,private teacher,lawyer,FALSE,4435.45,Moshe Moshe
5a36cc6cdada7744b84a1a61,nurit.d,gal,sushi chef,Proggrammer,TRUE,9839.51,bibi
5a36cc6cdada7744b84a1a61,david.ro,yfat.k,lady,king,TRUE,9036.42,Itay Gabay
5a3ea99b734d1d12b6753ea7,amit,orit.d,sushi chef,chinese medicine,FALSE,2050.71,Moshe Moshe
5a3ea99b734d1d12b6753ea7,moshe.p,mirit.r,Proggrammer,lawyer,FALSE,394.14,Moshe Moshe
5a36cc6cdada7744b84a1a61,amit,matan,lawyer,chinese medicine,FALSE,5751.69,bibi
5a3ea99b734d1d12b6753ea7,adi,yael.d,Engineer,sushi chef,TRUE,2119.65,Itay Gabay
5a3ea99b734d1d12b6753ea7,david.ro,matan,Proggrammer,chinese medicine,FALSE,2366.86,Itay Perel
5a3ea99b734d1d12b6753ea7,Yossi,moti.m,lady,lawyer,TRUE,7360.18,Itay Perel
5a3ea99b734d1d12b6753ea7,adi,yfat.k,lady,Engineer,TRUE,7988.79,Itay Perel
5a36cc6cdada7744b84a1a61,nurit.d,matan,Proggrammer,private teacher,TRUE,1908.77,Itay Perel
5a3ea99b734d1d12b6753ea7,adi,yael.d,king,Proggrammer,FALSE,2890.19,kobi kobi
5a36cc6cdada7744b84a1a61,gal,mirit.r,lawyer,Engineer,TRUE,986.35,Gal the queen
5a36cc6cdada7744b84a1a61,yael.d,nurit.d,private teacher,sushi chef,TRUE,3802.43,Itay Gabay
5a36cc6cdada7744b84a1a61,moshe.p,yael.d,Proggrammer,Engineer,TRUE,7587.71,kobi kobi
5a36cc6cdada7744b84a1a61,adi,orit.d,sushi chef,private teacher,FALSE,6130.11,Itay Gabay
5a36cc6cdada7744b84a1a61,mirit.r,yfat.k,sushi chef,chinese medicine,TRUE,6387.92,Moshe Moshe
5a3ea99b734d1d12b6753ea7,david.ro,mirit.r,king,Engineer,TRUE,5673.19,Itay Perel
5a3ea99b734d1d12b6753ea7,david.ro,amit,Proggrammer,chinese medicine,FALSE,3603.49,bibi
5a36cc6cdada7744b84a1a61,Yossi,mirit.r,lady,private teacher,TRUE,2749.97,Itay Gabay
5a3ea99b734d1d12b6753ea7,moshe.p,amit,sushi chef,lawyer,TRUE,3690.75,bibi
5a3ea99b734d1d12b6753ea7,matan,adi,sushi chef,lawyer,FALSE,2814.38,bibi
5a36cc6cdada7744b84a1a61,yael.d,adi,Proggrammer,private teacher,FALSE,7650.66,bibi
5a3ea99b734d1d12b6753ea7,adi,efrat.a,king,sushi chef,TRUE,7873.65,bibi
5a3ea99b734d1d12b6753ea7,moshe.p,mirit.r,sushi chef,lawyer,TRUE,8991.44,bibi
5a36cc6cdada7744b84a1a61,matan,yael.d,sushi chef,lady,TRUE,7708.02,Itay Gabay
5a36cc6cdada7744b84a1a61,gal,david.ro,Engineer,chinese medicine,FALSE,2438.02,Itay Gabay
5a3ea99b734d1d12b6753ea7,nurit.d,yael.d,king,sushi chef,TRUE,6091.55,Moshe Moshe
5a36cc6cdada7744b84a1a61,amit,moshe.p,Proggrammer,private teacher,TRUE,3245.2,Moshe Moshe
5a36cc6cdada7744b84a1a61,yfat.k,adi,lawyer,king,FALSE,1778.93,Gal the queen
5a36cc6cdada7744b84a1a61,yfat.k,moshe.p,Engineer,Proggrammer,TRUE,5152.09,bibi
5a36cc6cdada7744b84a1a61,adi,yfat.k,lady,Engineer,TRUE,3019.36,Moshe Moshe
5a36cc6cdada7744b84a1a61,yael.d,adi,lawyer,sushi chef,TRUE,903.21,Itay Perel
5a36cc6cdada7744b84a1a61,adi,yfat.k,lawyer,Engineer,TRUE,7421.17,Gal the queen
5a36cc6cdada7744b84a1a61,adi,mirit.r,king,Proggrammer,FALSE,2912.58,kobi kobi
5a3ea99b734d1d12b6753ea7,amit,yfat.k,king,private teacher,FALSE,7567.75,Itay Perel
5a3ea99b734d1d12b6753ea7,gal,yfat.k,king,lady,FALSE,5108.03,bibi
5a36cc6cdada7744b84a1a61,matan,mirit.r,lady,Proggrammer,TRUE,6641.33,kobi kobi
5a3ea99b734d1d12b6753ea7,mirit.r,moti.m,Engineer,chinese medicine,FALSE,8821.64,bibi
5a36cc6cdada7744b84a1a61,mirit.r,gal,Proggrammer,king,FALSE,9016.81,Itay Perel
5a36cc6cdada7744b84a1a61,gal,adi,lady,private teacher,TRUE,9474.77,bibi
5a3ea99b734d1d12b6753ea7,david.ro,nurit.d,king,private teacher,TRUE,3400.35,Itay Gabay
5a36cc6cdada7744b84a1a61,david.ro,moti.m,king,lady,TRUE,8005.25,Gal the queen
5a36cc6cdada7744b84a1a61,gal,mirit.r,sushi chef,lawyer,FALSE,1267.78,Itay Gabay
5a3ea99b734d1d12b6753ea7,yael.d,moti.m,private teacher,sushi chef,TRUE,3015.66,Moshe Moshe
5a36cc6cdada7744b84a1a61,gal,adi,Engineer,sushi chef,TRUE,6521.75,Itay Perel
5a36cc6cdada7744b84a1a61,mirit.r,yfat.k,private teacher,chinese medicine,FALSE,1357.08,bibi
5a36cc6cdada7744b84a1a61,amit,yfat.k,king,private teacher,TRUE,1398.03,Moshe Moshe
5a3ea99b734d1d12b6753ea7,amit,matan,king,lady,FALSE,2618.93,Itay Perel
5a3ea99b734d1d12b6753ea7,moshe.p,yfat.k,lawyer,lady,FALSE,314.92,Itay Gabay
5a3ea99b734d1d12b6753ea7,yael.d,david.ro,Proggrammer,king,TRUE,4417.14,bibi
5a36cc6cdada7744b84a1a61,moshe.p,david.ro,private teacher,lady,TRUE,4002.15,Moshe Moshe
5a36cc6cdada7744b84a1a61,amit,yfat.k,sushi chef,lawyer,FALSE,4104.25,Moshe Moshe
5a36cc6cdada7744b84a1a61,yael.d,moshe.p,lawyer,sushi chef,TRUE,977.72,bibi
5a3ea99b734d1d12b6753ea7,mirit.r,orit.d,private teacher,lady,FALSE,9916.08,kobi kobi
5a36cc6cdada7744b84a1a61,nurit.d,david.ro,lady,lawyer,TRUE,8840.79,Gal the queen
5a36cc6cdada7744b84a1a61,nurit.d,david.ro,lady,private teacher,TRUE,9186.71,Gal the queen
5a3ea99b734d1d12b6753ea7,moshe.p,gal,king,Engineer,TRUE,7362.75,bibi
5a36cc6cdada7744b84a1a61,yael.d,matan,private teacher,king,TRUE,1480.51,Gal the queen
5a3ea99b734d1d12b6753ea7,moti.m,Yossi,lawyer,Engineer,TRUE,4115.51,bibi
5a3ea99b734d1d12b6753ea7,moti.m,matan,lady,Engineer,TRUE,5189.45,Gal the queen
5a36cc6cdada7744b84a1a61,yael.d,moshe.p,private teacher,lady,FALSE,9669.09,kobi kobi
5a3ea99b734d1d12b6753ea7,matan,moshe.p,lady,sushi chef,TRUE,8372.32,Moshe Moshe
5a3ea99b734d1d12b6753ea7,yael.d,matan,Engineer,king,FALSE,4701.82,bibi
5a3ea99b734d1d12b6753ea7,orit.d,Yossi,private teacher,sushi chef,TRUE,2002.45,Moshe Moshe
5a3ea99b734d1d12b6753ea7,amit,mirit.r,Proggrammer,Engineer,TRUE,788.59,Itay Perel
5a3ea99b734d1d12b6753ea7,moti.m,efrat.a,Engineer,king,FALSE,6327.76,Itay Gabay
5a36cc6cdada7744b84a1a61,moshe.p,adi,private teacher,king,FALSE,393.74,bibi
5a36cc6cdada7744b84a1a61,yfat.k,gal,lady,Engineer,TRUE,6459.14,kobi kobi
5a36cc6cdada7744b84a1a61,gal,yfat.k,sushi chef,king,FALSE,2952.17,Itay Perel
5a36cc6cdada7744b84a1a61,moshe.p,nurit.d,Engineer,Proggrammer,FALSE,843.98,bibi
5a3ea99b734d1d12b6753ea7,adi,mirit.r,lady,lawyer,TRUE,8914.29,kobi kobi
5a3ea99b734d1d12b6753ea7,Yossi,efrat.a,Proggrammer,lady,TRUE,935.55,Moshe Moshe
5a36cc6cdada7744b84a1a61,Yossi,yael.d,Proggrammer,lawyer,FALSE,7944.86,Moshe Moshe
5a3ea99b734d1d12b6753ea7,Yossi,yael.d,private teacher,sushi chef,TRUE,4693.6,Gal the queen
5a36cc6cdada7744b84a1a61,Yossi,yael.d,lady,private teacher,TRUE,4243.6,Itay Perel
5a3ea99b734d1d12b6753ea7,Yossi,orit.d,private teacher,lady,TRUE,6057.94,Itay Perel
5a36cc6cdada7744b84a1a61,Yossi,amit,lady,private teacher,TRUE,8548.55,bibi
